Blade ID,Visual,Copies/ul,Site,Lesion Type,NOTES
1,Lesion,940.3001404,Beach Haven,black,
1,Healthy,0,Beach Haven,black control,
2,Lesion,1061.087875,Beach Haven,black,
2,Healthy,0,Beach Haven,black control,
3,Lesion,52.110219,Beach Haven,black,
3,Healthy,0,Beach Haven,black control,
4,Lesion,93.79261017,Beach Haven,black,
4,Healthy,0,Beach Haven,black control,
5,Lesion,98.87796402,Beach Haven,black,
5,Healthy,0,Beach Haven,black control,
6,Lesion,332.7264023,Beach Haven,black,
6,Healthy,0,Beach Haven,black control,
7,Lesion,81.06010437,Beach Haven,black,
7,Healthy,0,Beach Haven,black control,
8,Lesion,488.2251358,Beach Haven,black,
8,Healthy,0,Beach Haven,black control,
9,Lesion,145.0685215,Beach Haven,black,
9,Healthy,0,Beach Haven,black control,
10,Lesion,35.27199745,Beach Haven,black,
10,Healthy,0,Beach Haven,black control,
11,Lesion,27.60343552,Beach Haven,black,
11,Healthy,0,Beach Haven,black control,
12,Lesion,192.2943497,Beach Haven,black,
12,Healthy,0,Beach Haven,black control,
13,Lesion,235.2425575,Beach Haven,black,
13,Healthy,0,Beach Haven,black control,
14,Lesion,250.1825333,Beach Haven,black,
14,Healthy,0,Beach Haven,black control,
15,Lesion,116.8391228,Beach Haven,black,
15,Healthy,0,Beach Haven,black control,
16,Lesion,64.71888542,Beach Haven,black,
16,Healthy,0,Beach Haven,black control,
18,Lesion,150.2622986,Beach Haven,black,
18,Healthy,0,Beach Haven,black control,
19,Lesion,104.3212986,Beach Haven,black,
19,Healthy,0,Beach Haven,black control,
21,Lesion,881.3018799,Beach Haven,black,
21,Healthy,0,Beach Haven,brown control,
22,Lesion,9.634252787,Beach Haven,brown,
22,Healthy,0,Beach Haven,brown control,
23,Lesion,38.65027666,Beach Haven,brown,
23,Healthy,0,Beach Haven,brown control,
24,Lesion,45.16658783,Beach Haven,brown,
24,Healthy,0,Beach Haven,brown control,
25,Lesion,36.20458841,Beach Haven,brown,
25,Healthy,0,Beach Haven,brown control,
26,Lesion,27.59141445,Beach Haven,brown,
26,Healthy,0,Beach Haven,brown control,
27,Lesion,105.632267,Beach Haven,brown,
27,Healthy,0,Beach Haven,brown control,
28,Lesion,91.05142593,Beach Haven,brown,
28,Healthy,0,Beach Haven,brown control,
29,Lesion,221.9924164,Beach Haven,brown,
29,Healthy,0,Beach Haven,brown control,
30,Lesion,22.02064991,Beach Haven,brown,
30,Healthy,0,Beach Haven,brown control,
